video_id,model,f1,accuracy,silent_precision,silent_recall,speaking_precision,speaking_recall,n_silent,n_speaking,angled_f1,frontal_f1,high_motion_f1,low_motion_f1,angled_silent_recall,angled_speaking_recall,frontal_silent_recall,frontal_speaking_recall
20260107-2,logreg,0.4,0.833,1.0,0.82,0.25,1.0,34,2,0.286,0.667,0.8,0.0,0.839,1.0,0.667,1.0
20260108-1,logreg,0.826,0.782,0.99,0.55,0.71,0.99,134,146,0.837,0.806,0.819,0.828,0.609,0.99,0.429,1.0
20260108-2,logreg,0.0,0.115,1.0,0.12,0.0,0.0,26,0,0.0,0.0,0.0,0.0,0.067,nan,0.182,nan
20260108-3,logreg,0.945,0.896,0.0,0.0,0.9,1.0,11,95,0.967,0.936,1.0,0.934,0.0,1.0,0.0,1.0
20260114,logreg,0.95,0.924,0.96,0.75,0.91,0.99,110,299,0.929,0.956,0.962,0.946,0.69,1.0,0.765,0.988
20260115,logreg,0.793,0.683,0.41,0.27,0.75,0.85,130,331,0.672,0.819,0.857,0.774,0.283,0.84,0.262,0.847
20260121,logreg,0.941,0.895,0.45,0.64,0.96,0.92,74,723,0.946,0.928,0.965,0.931,0.685,0.928,0.5,0.905
20260122,logreg,0.899,0.846,0.92,0.54,0.83,0.98,91,208,0.909,0.874,0.938,0.896,0.597,0.973,0.414,1.0
20260129,logreg,0.863,0.773,0.41,0.29,0.83,0.89,31,123,0.791,0.937,0.815,0.868,0.28,0.85,0.333,0.937
20260204,logreg,0.912,0.906,0.96,0.85,0.87,0.96,212,214,0.916,0.897,0.922,0.904,0.86,0.963,0.812,0.96
20260205,logreg,0.77,0.674,0.33,0.65,0.89,0.68,46,190,0.698,0.787,0.787,0.754,0.733,0.595,0.613,0.699
20260212,logreg,0.752,0.664,0.35,0.74,0.91,0.64,70,269,0.761,0.743,0.75,0.752,0.683,0.674,0.828,0.613
20260219,logreg,0.316,0.639,0.83,0.69,0.25,0.43,29,7,0.25,0.667,0.0,0.353,0.636,0.333,0.857,1.0
20260226,logreg,0.842,0.8,0.71,0.75,0.86,0.83,32,58,0.794,0.902,0.849,0.829,0.75,0.735,0.75,0.958
20260311,logreg,0.798,0.691,0.23,0.64,0.93,0.7,73,507,0.765,0.875,0.781,0.804,0.621,0.657,0.733,0.8
20260318,logreg,0.816,0.734,0.44,0.64,0.88,0.76,36,122,0.76,0.879,0.706,0.825,0.577,0.719,0.8,0.81
20260326,logreg,0.75,0.645,0.26,0.74,0.93,0.63,19,105,0.61,0.872,0.75,0.75,0.688,0.481,1.0,0.774
20260401,logreg,0.88,0.848,0.97,0.67,0.8,0.98,260,340,0.88,0.88,0.875,0.881,0.705,0.972,0.632,0.994
20260409,logreg,0.777,0.674,0.29,0.62,0.9,0.68,32,158,0.789,0.753,0.609,0.792,0.667,0.689,0.571,0.673
20260416,logreg,0.893,0.828,0.42,0.9,0.98,0.82,39,270,0.861,0.919,0.885,0.894,0.8,0.768,0.931,0.862
